Code,date,y_true,y_pred,residual,abs_residual
652300,2023-02-01,186.0,150.55997,35.440032958984375,35.440032958984375
652300,2023-03-01,316.0,292.42694,23.57305908203125,23.57305908203125
652300,2023-04-01,205.0,301.37326,-96.37326049804688,96.37326049804688
652300,2023-05-01,240.0,289.45932,-49.459320068359375,49.459320068359375
652300,2023-06-01,343.0,281.41006,61.589935302734375,61.589935302734375
652300,2023-07-01,308.0,294.044,13.95599365234375,13.95599365234375
652300,2023-08-01,351.0,210.07265,140.92735290527344,140.92735290527344
652300,2023-09-01,260.0,243.72244,16.277557373046875,16.277557373046875
652300,2023-10-01,334.0,251.47055,82.52944946289062,82.52944946289062
652300,2023-11-01,316.0,325.61554,-9.61553955078125,9.61553955078125
652300,2023-12-01,387.0,390.63916,-3.63916015625,3.63916015625
652300,2024-01-01,1893.0,712.26196,1180.738037109375,1180.738037109375
652300,2024-02-01,979.0,1083.5688,-104.56884765625,104.56884765625
652300,2024-03-01,1924.0,1778.0819,145.9180908203125,145.9180908203125
652300,2024-04-01,1719.0,1972.3417,-253.3416748046875,253.3416748046875
652300,2024-05-01,1819.0,1859.0538,-40.0538330078125,40.0538330078125
652300,2024-06-01,1838.0,1973.7367,-135.7366943359375,135.7366943359375
652300,2024-07-01,1792.0,1837.9503,-45.9503173828125,45.9503173828125
652300,2024-08-01,1578.0,1877.6099,-299.60986328125,299.60986328125
652300,2024-09-01,2152.0,2332.322,-180.322021484375,180.322021484375
652300,2024-10-01,2540.0,2278.565,261.43505859375,261.43505859375
652300,2024-11-01,2389.0,2625.3413,-236.34130859375,236.34130859375
652300,2024-12-01,3025.0,2866.4282,158.57177734375,158.57177734375
652700,2023-01-01,33.0,21.24837,11.751630783081055,11.751630783081055
652700,2023-02-01,28.0,15.768268,12.231732368469238,12.231732368469238
652700,2023-03-01,33.0,30.743793,2.256206512451172,2.256206512451172
652700,2023-04-01,38.0,32.620758,5.379241943359375,5.379241943359375
652700,2023-05-01,47.0,46.53862,0.4613800048828125,0.4613800048828125
652700,2023-06-01,54.0,57.99422,-3.994220733642578,3.994220733642578
652700,2023-07-01,53.0,53.025185,-0.02518463134765625,0.02518463134765625
652700,2023-08-01,39.0,55.78647,-16.786468505859375,16.786468505859375
652700,2023-09-01,55.0,53.53574,1.4642601013183594,1.4642601013183594
652700,2023-10-01,94.0,60.492947,33.50705337524414,33.50705337524414
652700,2023-11-01,90.0,77.556694,12.443305969238281,12.443305969238281
652700,2023-12-01,115.0,109.09867,5.901329040527344,5.901329040527344
652700,2024-01-01,473.0,206.58879,266.4112091064453,266.4112091064453
652700,2024-02-01,280.0,263.7239,16.276092529296875,16.276092529296875
652700,2024-03-01,337.0,442.4003,-105.40029907226562,105.40029907226562
652700,2024-04-01,353.0,431.1091,-78.10910034179688,78.10910034179688
652700,2024-05-01,383.0,387.67203,-4.672027587890625,4.672027587890625
652700,2024-06-01,328.0,384.73935,-56.739349365234375,56.739349365234375
652700,2024-07-01,347.0,376.1013,-29.101287841796875,29.101287841796875
652700,2024-08-01,387.0,386.31097,0.68902587890625,0.68902587890625
652700,2024-09-01,421.0,402.79935,18.200653076171875,18.200653076171875
652700,2024-10-01,519.0,478.07693,40.923065185546875,40.923065185546875
652700,2024-11-01,599.0,622.1878,-23.18780517578125,23.18780517578125
652700,2024-12-01,726.0,824.5221,-98.5220947265625,98.5220947265625
652800,2023-01-01,187.0,258.7191,-71.71908569335938,71.71908569335938
652800,2023-02-01,246.0,214.70612,31.29388427734375,31.29388427734375
652800,2023-03-01,268.0,323.70587,-55.70587158203125,55.70587158203125
652800,2023-04-01,246.0,281.68924,-35.689239501953125,35.689239501953125
652800,2023-05-01,332.0,306.10345,25.89654541015625,25.89654541015625
652800,2023-06-01,371.0,303.1818,67.81820678710938,67.81820678710938
652800,2023-07-01,435.0,344.34192,90.6580810546875,90.6580810546875
652800,2023-08-01,423.0,420.99097,2.009033203125,2.009033203125
652800,2023-09-01,437.0,305.8999,131.10009765625,131.10009765625
652800,2023-10-01,623.0,308.45047,314.5495300292969,314.5495300292969
652800,2023-11-01,626.0,488.52933,137.47067260742188,137.47067260742188
652800,2023-12-01,692.0,715.8686,-23.86859130859375,23.86859130859375
652800,2024-01-01,2380.0,1250.2024,1129.797607421875,1129.797607421875
652800,2024-02-01,1147.0,1441.6525,-294.6524658203125,294.6524658203125
652800,2024-03-01,1728.0,2088.1047,-360.104736328125,360.104736328125
652800,2024-04-01,1834.0,2202.3215,-368.321533203125,368.321533203125
652800,2024-05-01,2201.0,2543.0015,-342.00146484375,342.00146484375
652800,2024-06-01,2032.0,2307.4578,-275.457763671875,275.457763671875
652800,2024-07-01,1909.0,2192.6816,-283.681640625,283.681640625
652800,2024-08-01,2061.0,2203.549,-142.549072265625,142.549072265625
652800,2024-09-01,2048.0,2196.17,-148.169921875,148.169921875
652800,2024-10-01,2728.0,2741.8884,-13.888427734375,13.888427734375
652800,2024-11-01,3083.0,2704.687,378.31298828125,378.31298828125
652800,2024-12-01,4070.0,3555.3274,514.672607421875,514.672607421875
652900,2023-01-01,232.0,251.49731,-19.497314453125,19.497314453125
652900,2023-02-01,282.0,264.08655,17.9134521484375,17.9134521484375
652900,2023-03-01,482.0,434.1931,47.806884765625,47.806884765625
652900,2023-04-01,404.0,376.40823,27.591766357421875,27.591766357421875
